filed_at,company_name,form_type,url
2024-01-02T18:06:25-05:00,Krognes Steve E.,4,https://www.sec.gov/Archives/edgar/data/1576280/000157628024000002/xslF345X05/wk-form4_1704236774.xml
2024-01-02T18:06:25-05:00,"Guardant Health, Inc.",4,https://www.sec.gov/Archives/edgar/data/1576280/000157628024000002/xslF345X05/wk-form4_1704236774.xml
2024-01-02T16:18:22-05:00,PARK NATIONAL CORP /OH/,13F-HR,https://www.sec.gov/Archives/edgar/data/805676/000110465924000341/xslForm13F_X02/primary_doc.xml
2024-01-02T14:52:29-05:00,AKUMIN INC.,8-K,https://www.sec.gov/Archives/edgar/data/1776197/000119312524000620/d653414d8k.htm
2024-01-02T14:48:22-05:00,APPLETON PARTNERS INC/MA,13F-HR,https://www.sec.gov/Archives/edgar/data/1055290/000095012324000010/xslForm13F_X02/primary_doc.xml
2024-01-02T14:28:10-05:00,"Digipath, Inc.",NT 10-K,https://www.sec.gov/Archives/edgar/data/1502966/000149315224000069/formnt10-k.htm
2024-01-02T14:09:41-05:00,First Financial Bank - Trust Division,13F-HR,https://www.sec.gov/Archives/edgar/data/1315339/000131533924000002/xslForm13F_X02/primary_doc.xml
2024-01-02T14:08:36-05:00,"Symmetry Partners, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1697493/000169749324000001/xslForm13F_X02/primary_doc.xml
2024-01-02T13:08:18-05:00,VIRGINIA RETIREMENT SYSTEMS ET AL,13F-HR,https://www.sec.gov/Archives/edgar/data/1005354/000100535424000001/xslForm13F_X02/primary_doc.xml
2024-01-02T12:45:25-05:00,Condella Sarah,144,https://www.sec.gov/Archives/edgar/data/1124140/000195917324000026/xsl144X01/primary_doc.xml
2024-01-02T12:45:25-05:00,EXACT SCIENCES CORP,144,https://www.sec.gov/Archives/edgar/data/1124140/000195917324000026/xsl144X01/primary_doc.xml
2024-01-02T12:35:43-05:00,Baranick Brian,144,https://www.sec.gov/Archives/edgar/data/1124140/000195917324000024/xsl144X01/primary_doc.xml
2024-01-02T12:35:43-05:00,EXACT SCIENCES CORP,144,https://www.sec.gov/Archives/edgar/data/1124140/000195917324000024/xsl144X01/primary_doc.xml
2024-01-02T07:48:30-05:00,LABORATORY CORP OF AMERICA HOLDINGS,8-K,https://www.sec.gov/Archives/edgar/data/920148/000092014824000002/lh-20240102.htm
2024-01-02T06:36:59-05:00,DR REDDYS LABORATORIES LTD,6-K,https://www.sec.gov/Archives/edgar/data/1135951/000157587224000004/drr0550_6k.htm
2024-01-02T06:28:37-05:00,DR REDDYS LABORATORIES LTD,6-K,https://www.sec.gov/Archives/edgar/data/1135951/000157587224000002/drr0549_6k.htm
2023-12-29T21:45:08-05:00,"Natera, Inc.",4,https://www.sec.gov/Archives/edgar/data/1604821/000141588923017030/xslF345X05/form4-12292023_091201.xml
2023-12-29T21:45:08-05:00,Brophy Michael Burkes,4,https://www.sec.gov/Archives/edgar/data/1604821/000141588923017030/xslF345X05/form4-12292023_091201.xml
2023-12-29T21:35:06-05:00,Chapman Steven Leonard,4,https://www.sec.gov/Archives/edgar/data/1604821/000141588923017029/xslF345X05/form4-12292023_091201.xml
2023-12-29T21:35:06-05:00,"Natera, Inc.",4,https://www.sec.gov/Archives/edgar/data/1604821/000141588923017029/xslF345X05/form4-12292023_091201.xml
2023-12-29T21:05:14-05:00,"Natera, Inc.",4/A,https://www.sec.gov/Archives/edgar/data/1604821/000141588923017028/xslF345X05/form4a-12292023_091205.xml
2023-12-29T21:05:14-05:00,Chapman Steven Leonard,4/A,https://www.sec.gov/Archives/edgar/data/1604821/000141588923017028/xslF345X05/form4a-12292023_091205.xml
2023-12-29T21:05:13-05:00,Sheena Jonathan,4,https://www.sec.gov/Archives/edgar/data/1604821/000141588923017027/xslF345X05/form4-12292023_091203.xml
2023-12-29T21:05:13-05:00,"Natera, Inc.",4,https://www.sec.gov/Archives/edgar/data/1604821/000141588923017027/xslF345X05/form4-12292023_091203.xml
2023-12-29T21:05:09-05:00,"Natera, Inc.",4,https://www.sec.gov/Archives/edgar/data/1604821/000141588923017026/xslF345X05/form4-12292023_091201.xml
2023-12-29T21:05:09-05:00,RABINOWITZ DANIEL,4,https://www.sec.gov/Archives/edgar/data/1604821/000141588923017026/xslF345X05/form4-12292023_091201.xml
2023-12-29T16:20:32-05:00,"Natera, Inc.",144,https://www.sec.gov/Archives/edgar/data/1604821/000195004723006540/xsl144X01/primary_doc.xml
2023-12-29T16:20:32-05:00,Brophy Michael Burkes,144,https://www.sec.gov/Archives/edgar/data/1604821/000195004723006540/xsl144X01/primary_doc.xml
2023-12-29T16:05:51-05:00,CASTLE BIOSCIENCES INC,4,https://www.sec.gov/Archives/edgar/data/1239501/000144736223000194/xslF345X05/wk-form4_1703883938.xml
2023-12-29T16:05:51-05:00,MAETZOLD DEREK J,4,https://www.sec.gov/Archives/edgar/data/1239501/000144736223000194/xslF345X05/wk-form4_1703883938.xml
2023-12-29T16:02:00-05:00,Renalytix plc,8-K,https://www.sec.gov/Archives/edgar/data/1811115/000119312523305948/d736040d8k.htm
2023-12-29T08:39:39-05:00,DR REDDYS LABORATORIES LTD,6-K,https://www.sec.gov/Archives/edgar/data/1135951/000157587223001952/drr0548_6k.htm
2023-12-29T07:16:20-05:00,DR REDDYS LABORATORIES LTD,6-K,https://www.sec.gov/Archives/edgar/data/1135951/000157587223001950/drr0547_6k.htm
2023-12-29T06:30:26-05:00,White Lion Capital LLC,SC 13G/A,https://www.sec.gov/Archives/edgar/data/1635077/000119312523305687/d588465dsc13ga.htm
2023-12-29T06:30:26-05:00,"Aclarion, Inc.",SC 13G/A,https://www.sec.gov/Archives/edgar/data/1635077/000119312523305687/d588465dsc13ga.htm
2023-12-28T16:17:27-05:00,Celcuity Inc.,4,https://www.sec.gov/Archives/edgar/data/940454/000106299323023236/xslF345X05/form4.xml
2023-12-28T16:17:27-05:00,Sullivan Brian F.,4,https://www.sec.gov/Archives/edgar/data/940454/000106299323023236/xslF345X05/form4.xml
2023-12-28T12:00:13-05:00,Sheena Jonathan,144,https://www.sec.gov/Archives/edgar/data/1604821/000194984623000530/xsl144X01/primary_doc.xml
2023-12-28T12:00:13-05:00,"Natera, Inc.",144,https://www.sec.gov/Archives/edgar/data/1604821/000194984623000530/xsl144X01/primary_doc.xml
2023-12-27T16:18:36-05:00,MAETZOLD DEREK J,4,https://www.sec.gov/Archives/edgar/data/1239501/000144736223000192/xslF345X05/wk-form4_1703711904.xml
2023-12-27T16:18:36-05:00,CASTLE BIOSCIENCES INC,4,https://www.sec.gov/Archives/edgar/data/1239501/000144736223000192/xslF345X05/wk-form4_1703711904.xml
2023-12-27T12:46:21-05:00,RNC CAPITAL MANAGEMENT LLC,13F-HR,https://www.sec.gov/Archives/edgar/data/51762/000005176223000005/xslForm13F_X02/primary_doc.xml
2023-12-26T16:15:26-05:00,Celcuity Inc.,SC 13G,https://www.sec.gov/Archives/edgar/data/1224962/000119312523303021/d229401dsc13g.htm
2023-12-26T16:15:26-05:00,PERCEPTIVE ADVISORS LLC,SC 13G,https://www.sec.gov/Archives/edgar/data/1224962/000119312523303021/d229401dsc13g.htm
2023-12-22T16:09:13-05:00,Celcuity Inc.,4,https://www.sec.gov/Archives/edgar/data/1603454/000106299323023080/xslF345X05/form4.xml
2023-12-22T16:09:13-05:00,Buller Richard E,4,https://www.sec.gov/Archives/edgar/data/1603454/000106299323023080/xslF345X05/form4.xml
2023-12-22T16:06:55-05:00,CASTLE BIOSCIENCES INC,4,https://www.sec.gov/Archives/edgar/data/1239501/000144736223000190/xslF345X05/wk-form4_1703279206.xml
2023-12-22T16:06:55-05:00,MAETZOLD DEREK J,4,https://www.sec.gov/Archives/edgar/data/1239501/000144736223000190/xslF345X05/wk-form4_1703279206.xml
2023-12-22T16:01:53-05:00,"CareDx, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1217234/000119312523302096/d671274d8k.htm
2023-12-22T14:21:19-05:00,HEALY JAMES,4,https://www.sec.gov/Archives/edgar/data/1245624/000110465923128727/xslF345X05/tm2333601-1_4seq1.xml
2023-12-22T14:21:19-05:00,"Natera, Inc.",4,https://www.sec.gov/Archives/edgar/data/1245624/000110465923128727/xslF345X05/tm2333601-1_4seq1.xml
2023-12-22T11:41:51-05:00,Advanced Biomed Inc.,S-1/A,https://www.sec.gov/Archives/edgar/data/1941029/000157587223001921/vc033_s1a.htm
2023-12-22T09:36:04-05:00,Fresh2 Group Ltd,LETTER,https://www.sec.gov/Archives/edgar/data/1786511/000000000023014013/filename1.pdf
2023-12-22T08:40:49-05:00,"Dolby Laboratories, Inc.",ARS,https://www.sec.gov/Archives/edgar/data/1308547/000119312523301821/d550514dars.pdf
2023-12-22T08:37:26-05:00,"Dolby Laboratories, Inc.",DEFA14A,https://www.sec.gov/Archives/edgar/data/1308547/000119312523301819/d544796ddefa14a.htm
2023-12-22T08:35:14-05:00,"Dolby Laboratories, Inc.",DEF 14A,https://www.sec.gov/Archives/edgar/data/1308547/000119312523301817/d446084ddef14a.htm
2023-12-21T21:20:16-05:00,Nussbaum Robert L,4,https://www.sec.gov/Archives/edgar/data/1501134/000095017023072402/xslF345X05/ownership.xml
2023-12-21T21:20:16-05:00,Invitae Corp,4,https://www.sec.gov/Archives/edgar/data/1501134/000095017023072402/xslF345X05/ownership.xml
2023-12-21T21:14:33-05:00,Brida Thomas,4,https://www.sec.gov/Archives/edgar/data/1501134/000095017023072400/xslF345X05/ownership.xml
2023-12-21T21:14:33-05:00,Invitae Corp,4,https://www.sec.gov/Archives/edgar/data/1501134/000095017023072400/xslF345X05/ownership.xml
2023-12-21T17:15:27-05:00,"Personalis, Inc.",S-3,https://www.sec.gov/Archives/edgar/data/1527753/000119312523301308/d852847ds3.htm
2023-12-21T17:12:23-05:00,"Personalis, Inc.",S-3,https://www.sec.gov/Archives/edgar/data/1527753/000119312523301301/d92373ds3.htm
2023-12-21T16:48:46-05:00,ENZO BIOCHEM INC,DEFR14A,https://www.sec.gov/Archives/edgar/data/316253/000121390023097728/ea190361-defr14a_enzobiochem.htm
2023-12-21T16:15:16-05:00,ENZO BIOCHEM INC,ARS,https://www.sec.gov/Archives/edgar/data/316253/000114036123058917/ny20015215x2_ars.pdf
2023-12-21T16:07:00-05:00,"Guardant Health, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1576280/000119312523301187/d518375d8k.htm
2023-12-21T14:46:09-05:00,Genetron Holdings Ltd,LETTER,https://www.sec.gov/Archives/edgar/data/1782594/000000000023013974/filename1.pdf
2023-12-21T09:16:12-05:00,"Guardant Health, Inc.",424B5,https://www.sec.gov/Archives/edgar/data/1576280/000119312523300549/d535006d424b5.htm
2023-12-21T06:11:29-05:00,DR REDDYS LABORATORIES LTD,6-K,https://www.sec.gov/Archives/edgar/data/1135951/000157587223001906/drr0546_6k.htm
2023-12-20T16:46:26-05:00,CASTLE BIOSCIENCES INC,4,https://www.sec.gov/Archives/edgar/data/1239501/000144736223000188/xslF345X05/wk-form4_1703108767.xml
2023-12-20T16:46:26-05:00,MAETZOLD DEREK J,4,https://www.sec.gov/Archives/edgar/data/1239501/000144736223000188/xslF345X05/wk-form4_1703108767.xml
2023-12-20T15:36:07-05:00,"Aclarion, Inc.",LETTER,https://www.sec.gov/Archives/edgar/data/1635077/000000000023013916/filename1.pdf
2023-12-20T10:34:44-05:00,Celcuity Inc.,144,https://www.sec.gov/Archives/edgar/data/1603454/000194984623000518/xsl144X01/primary_doc.xml
2023-12-20T10:34:44-05:00,Buller Richard E,144,https://www.sec.gov/Archives/edgar/data/1603454/000194984623000518/xsl144X01/primary_doc.xml
2023-12-20T09:36:07-05:00,"RadNet, Inc.",LETTER,https://www.sec.gov/Archives/edgar/data/790526/000000000023013883/filename1.pdf
2023-12-20T09:19:17-05:00,BIODESIX INC,8-K,https://www.sec.gov/Archives/edgar/data/1439725/000095017023071761/bdsx-20231215.htm
2023-12-20T06:09:28-05:00,Burning Rock Biotech Ltd,6-K,https://www.sec.gov/Archives/edgar/data/1792267/000119312523299246/d612580d6k.htm
2023-12-19T19:35:47-05:00,YEAMAN KEVIN J,4,https://www.sec.gov/Archives/edgar/data/1200469/000120919123059262/xslF345X05/doc4.xml
2023-12-19T19:35:47-05:00,"Dolby Laboratories, Inc.",4,https://www.sec.gov/Archives/edgar/data/1200469/000120919123059262/xslF345X05/doc4.xml
2023-12-19T19:34:59-05:00,SHERMAN MARK ANDREW,4,https://www.sec.gov/Archives/edgar/data/1256708/000120919123059261/xslF345X05/doc4.xml
2023-12-19T19:34:59-05:00,"Dolby Laboratories, Inc.",4,https://www.sec.gov/Archives/edgar/data/1256708/000120919123059261/xslF345X05/doc4.xml
2023-12-19T19:34:29-05:00,Couling John D,4,https://www.sec.gov/Archives/edgar/data/1308547/000120919123059260/xslF345X05/doc4.xml
2023-12-19T19:34:29-05:00,"Dolby Laboratories, Inc.",4,https://www.sec.gov/Archives/edgar/data/1308547/000120919123059260/xslF345X05/doc4.xml
2023-12-19T19:33:52-05:00,"Dolby Laboratories, Inc.",4,https://www.sec.gov/Archives/edgar/data/1308547/000120919123059259/xslF345X05/doc4.xml
2023-12-19T19:33:52-05:00,Pendleton Todd,4,https://www.sec.gov/Archives/edgar/data/1308547/000120919123059259/xslF345X05/doc4.xml
2023-12-19T19:31:39-05:00,"Dolby Laboratories, Inc.",4,https://www.sec.gov/Archives/edgar/data/1308547/000120919123059258/xslF345X05/doc4.xml
2023-12-19T19:31:39-05:00,Park Robert J,4,https://www.sec.gov/Archives/edgar/data/1308547/000120919123059258/xslF345X05/doc4.xml
2023-12-19T19:31:02-05:00,"Dolby Laboratories, Inc.",4,https://www.sec.gov/Archives/edgar/data/1308547/000120919123059257/xslF345X05/doc4.xml
2023-12-19T19:31:02-05:00,Revankar Shriram,4,https://www.sec.gov/Archives/edgar/data/1308547/000120919123059257/xslF345X05/doc4.xml
2023-12-19T19:30:24-05:00,Nicholson Ryan,4,https://www.sec.gov/Archives/edgar/data/1308547/000120919123059256/xslF345X05/doc4.xml
2023-12-19T19:30:24-05:00,"Dolby Laboratories, Inc.",4,https://www.sec.gov/Archives/edgar/data/1308547/000120919123059256/xslF345X05/doc4.xml
2023-12-19T19:22:46-05:00,WEST PACES ADVISORS INC.,13F-HR,https://www.sec.gov/Archives/edgar/data/2004720/000139834423022988/xslForm13F_X02/primary_doc.xml
2023-12-19T19:15:31-05:00,WEST PACES ADVISORS INC.,13F-HR,https://www.sec.gov/Archives/edgar/data/2004720/000139834423022984/xslForm13F_X02/primary_doc.xml
2023-12-19T19:14:17-05:00,WEST PACES ADVISORS INC.,13F-HR,https://www.sec.gov/Archives/edgar/data/2004720/000139834423022983/xslForm13F_X02/primary_doc.xml
2023-12-19T18:09:07-05:00,Chen Richard,4,https://www.sec.gov/Archives/edgar/data/1527753/000120919123059243/xslF345X05/doc4.xml
2023-12-19T18:09:07-05:00,"Personalis, Inc.",4,https://www.sec.gov/Archives/edgar/data/1527753/000120919123059243/xslF345X05/doc4.xml
2023-12-19T18:07:41-05:00,"Personalis, Inc.",4,https://www.sec.gov/Archives/edgar/data/1401786/000120919123059242/xslF345X05/doc4.xml
2023-12-19T18:07:41-05:00,Tachibana Aaron,4,https://www.sec.gov/Archives/edgar/data/1401786/000120919123059242/xslF345X05/doc4.xml
2023-12-19T18:02:50-05:00,Moore Stephen Michael,4,https://www.sec.gov/Archives/edgar/data/1527753/000120919123059241/xslF345X05/doc4.xml
2023-12-19T18:02:50-05:00,"Personalis, Inc.",4,https://www.sec.gov/Archives/edgar/data/1527753/000120919123059241/xslF345X05/doc4.xml
2023-12-19T17:20:01-05:00,"Guardant Health, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1576280/000119312523298718/d719875d8k.htm
