filed_at,company_name,form_type,url
2024-01-02T21:07:02-05:00,"PetVivo Holdings, Inc.",4,https://www.sec.gov/Archives/edgar/data/1512922/000149315224000172/xslF345X05/ownership.xml
2024-01-02T21:07:02-05:00,Martin James Rudolph,4,https://www.sec.gov/Archives/edgar/data/1512922/000149315224000172/xslF345X05/ownership.xml
2024-01-02T21:07:01-05:00,"PetVivo Holdings, Inc.",4,https://www.sec.gov/Archives/edgar/data/1403679/000149315224000173/xslF345X05/ownership.xml
2024-01-02T21:07:01-05:00,Rudelius Robert James,4,https://www.sec.gov/Archives/edgar/data/1403679/000149315224000173/xslF345X05/ownership.xml
2024-01-02T21:06:56-05:00,Levitan Diane M,4,https://www.sec.gov/Archives/edgar/data/1512922/000149315224000171/xslF345X05/ownership.xml
2024-01-02T21:06:56-05:00,"PetVivo Holdings, Inc.",4,https://www.sec.gov/Archives/edgar/data/1512922/000149315224000171/xslF345X05/ownership.xml
2024-01-02T21:06:56-05:00,Costantino Robert J,4,https://www.sec.gov/Archives/edgar/data/1326882/000149315224000169/xslF345X05/ownership.xml
2024-01-02T21:06:56-05:00,"PetVivo Holdings, Inc.",4,https://www.sec.gov/Archives/edgar/data/1326882/000149315224000169/xslF345X05/ownership.xml
2024-01-02T21:06:55-05:00,"PetVivo Holdings, Inc.",4,https://www.sec.gov/Archives/edgar/data/1512922/000149315224000170/xslF345X05/ownership.xml
2024-01-02T21:06:55-05:00,Jasper Joseph William,4,https://www.sec.gov/Archives/edgar/data/1512922/000149315224000170/xslF345X05/ownership.xml
2024-01-02T21:06:52-05:00,Breithaupt John Spencer,4,https://www.sec.gov/Archives/edgar/data/1512922/000149315224000168/xslF345X05/ownership.xml
2024-01-02T21:06:52-05:00,"PetVivo Holdings, Inc.",4,https://www.sec.gov/Archives/edgar/data/1512922/000149315224000168/xslF345X05/ownership.xml
2024-01-02T21:05:51-05:00,Sheibley Philip Brent,4,https://www.sec.gov/Archives/edgar/data/1074871/000121390024000404/xslF345X05/ownership.xml
2024-01-02T21:05:51-05:00,"Modular Medical, Inc.",4,https://www.sec.gov/Archives/edgar/data/1074871/000121390024000404/xslF345X05/ownership.xml
2024-01-02T19:38:37-05:00,"Data443 Risk Mitigation, Inc.",DEF 14C,https://www.sec.gov/Archives/edgar/data/1068689/000149315224000159/formdef14c.htm
2024-01-02T19:18:11-05:00,"Modular Medical, Inc.",4,https://www.sec.gov/Archives/edgar/data/1074871/000121390024000372/xslF345X05/ownership.xml
2024-01-02T19:18:11-05:00,FELSHER STEVEN G,4,https://www.sec.gov/Archives/edgar/data/1074871/000121390024000372/xslF345X05/ownership.xml
2024-01-02T19:15:34-05:00,"Modular Medical, Inc.",4,https://www.sec.gov/Archives/edgar/data/1074871/000121390024000368/xslF345X05/ownership.xml
2024-01-02T19:15:34-05:00,DeSisto Duane M,4,https://www.sec.gov/Archives/edgar/data/1074871/000121390024000368/xslF345X05/ownership.xml
2024-01-02T19:13:36-05:00,Vos Ellen O'Connor,4,https://www.sec.gov/Archives/edgar/data/1074871/000121390024000366/xslF345X05/ownership.xml
2024-01-02T19:13:36-05:00,"Modular Medical, Inc.",4,https://www.sec.gov/Archives/edgar/data/1074871/000121390024000366/xslF345X05/ownership.xml
2024-01-02T19:11:40-05:00,Volkart Carmen B,4,https://www.sec.gov/Archives/edgar/data/1074871/000121390024000364/xslF345X05/ownership.xml
2024-01-02T19:11:40-05:00,"Modular Medical, Inc.",4,https://www.sec.gov/Archives/edgar/data/1074871/000121390024000364/xslF345X05/ownership.xml
2024-01-02T19:08:00-05:00,Paramount Gold Nevada Corp.,8-K,https://www.sec.gov/Archives/edgar/data/1629210/000119312524000827/d692619d8k.htm
