filed_at,company_name,form_type,url
2024-01-02T21:49:04-05:00,JPMORGAN CHASE & CO,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000497/xslF345X02/ownership.xml
2024-01-02T21:49:04-05:00,DNT Asset Trust,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000497/xslF345X02/ownership.xml
2024-01-02T21:49:04-05:00,"BLACKROCK MUNIVEST FUND, INC.",3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000497/xslF345X02/ownership.xml
2024-01-02T21:47:26-05:00,Nukkleus Inc.,15-12G,https://www.sec.gov/Archives/edgar/data/1592782/000121390024000412/ea191016-1512g_nukkleus.htm
2024-01-02T21:43:06-05:00,"SomaLogic, Inc.",DEFA14A,https://www.sec.gov/Archives/edgar/data/1837412/000110465924000470/tm2333952d7_defa14a.htm
2024-01-02T21:42:45-05:00,"Groupon, Inc.",SC 13G/A,https://www.sec.gov/Archives/edgar/data/1490281/000091957424000022/d10923922_13-g.htm
2024-01-02T21:42:45-05:00,"Divisadero Street Capital Management, LP",SC 13G/A,https://www.sec.gov/Archives/edgar/data/1490281/000091957424000022/d10923922_13-g.htm
2024-01-02T21:42:19-05:00,"Laird Superfood, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1650696/000143774924000284/lsf20240102_8k.htm
2024-01-02T21:41:02-05:00,DNT Asset Trust,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000492/xslF345X02/ownership.xml
2024-01-02T21:41:02-05:00,JPMORGAN CHASE & CO,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000492/xslF345X02/ownership.xml
2024-01-02T21:41:02-05:00,"BLACKROCK INVESTMENT QUALITY MUNICIPAL TRUST, INC.",3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000492/xslF345X02/ownership.xml
2024-01-02T21:35:57-05:00,DNT Asset Trust,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000487/xslF345X02/ownership.xml
2024-01-02T21:35:57-05:00,"BLACKROCK MUNIHOLDINGS QUALITY FUND II, INC.",3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000487/xslF345X02/ownership.xml
2024-01-02T21:35:57-05:00,JPMORGAN CHASE & CO,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000487/xslF345X02/ownership.xml
2024-01-02T21:33:08-05:00,JPMORGAN CHASE & CO,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000484/xslF345X02/ownership.xml
2024-01-02T21:33:08-05:00,"BLACKROCK MUNIVEST FUND II, INC.",3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000484/xslF345X02/ownership.xml
