filed_at,company_name,form_type,url
2024-01-02T21:55:54-05:00,ROYAL BANK OF CANADA,FWP,https://www.sec.gov/Archives/edgar/data/1000275/000114036124000315/ef20017873_fwp.htm
2024-01-02T21:55:09-05:00,APi Group Corp,144,https://www.sec.gov/Archives/edgar/data/1103804/000090514824000035/xsl144X01/primary_doc.xml
2024-01-02T21:55:09-05:00,VIKING GLOBAL INVESTORS LP,144,https://www.sec.gov/Archives/edgar/data/1103804/000090514824000035/xsl144X01/primary_doc.xml
2024-01-02T21:53:01-05:00,ROYAL BANK OF CANADA,FWP,https://www.sec.gov/Archives/edgar/data/1000275/000114036124000313/ef20017872_fwp.htm
2024-01-02T21:52:17-05:00,ROYAL BANK OF CANADA,FWP,https://www.sec.gov/Archives/edgar/data/1000275/000114036124000311/ef20017874_fwp.htm
2024-01-02T21:52:02-05:00,ROYAL BANK OF CANADA,FWP,https://www.sec.gov/Archives/edgar/data/1000275/000114036124000310/ef20017875_fwp.htm
2024-01-02T21:51:56-05:00,UNITED MEXICAN STATES,FWP,https://www.sec.gov/Archives/edgar/data/101368/000119312524000882/d633046dfwp.htm
2024-01-02T21:49:17-05:00,Coleman Sonia L,4,https://www.sec.gov/Archives/edgar/data/1744489/000174448924000033/xslF345X05/wk-form4_1704250148.xml
2024-01-02T21:49:17-05:00,Walt Disney Co,4,https://www.sec.gov/Archives/edgar/data/1744489/000174448924000033/xslF345X05/wk-form4_1704250148.xml
2024-01-02T21:49:13-05:00,NileBuilt Corp. / WY,CORRESP,https://www.sec.gov/Archives/edgar/data/1966498/000149315224000177/filename1.htm
2024-01-02T21:49:05-05:00,Walt Disney Co,4,https://www.sec.gov/Archives/edgar/data/1744489/000174448924000032/xslF345X05/wk-form4_1704250138.xml
2024-01-02T21:49:05-05:00,MCDONALD CALVIN,4,https://www.sec.gov/Archives/edgar/data/1744489/000174448924000032/xslF345X05/wk-form4_1704250138.xml
2024-01-02T21:49:04-05:00,JPMORGAN CHASE & CO,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000497/xslF345X02/ownership.xml
2024-01-02T21:49:04-05:00,DNT Asset Trust,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000497/xslF345X02/ownership.xml
2024-01-02T21:49:04-05:00,"BLACKROCK MUNIVEST FUND, INC.",3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000497/xslF345X02/ownership.xml
2024-01-02T21:48:55-05:00,Walt Disney Co,4,https://www.sec.gov/Archives/edgar/data/1236641/000174448924000031/xslF345X05/wk-form4_1704250126.xml
2024-01-02T21:48:55-05:00,PARKER MARK G,4,https://www.sec.gov/Archives/edgar/data/1236641/000174448924000031/xslF345X05/wk-form4_1704250126.xml
2024-01-02T21:48:50-05:00,ROYAL BANK OF CANADA,FWP,https://www.sec.gov/Archives/edgar/data/1000275/000114036124000307/ef20017877_fwp.htm
2024-01-02T21:48:44-05:00,Walt Disney Co,4,https://www.sec.gov/Archives/edgar/data/1492154/000174448924000030/xslF345X05/wk-form4_1704250114.xml
2024-01-02T21:48:44-05:00,Barra Mary T,4,https://www.sec.gov/Archives/edgar/data/1492154/000174448924000030/xslF345X05/wk-form4_1704250114.xml
2024-01-02T21:48:31-05:00,deSouza Francis A,4,https://www.sec.gov/Archives/edgar/data/1520943/000174448924000029/xslF345X05/wk-form4_1704250101.xml
2024-01-02T21:48:31-05:00,Walt Disney Co,4,https://www.sec.gov/Archives/edgar/data/1520943/000174448924000029/xslF345X05/wk-form4_1704250101.xml
2024-01-02T21:48:25-05:00,Counsel AI Corp,D,https://www.sec.gov/Archives/edgar/data/1974654/000197465424000002/xslFormDX01/primary_doc.xml
2024-01-02T21:48:18-05:00,Froman Michael B. G.,4,https://www.sec.gov/Archives/edgar/data/1744489/000174448924000028/xslF345X05/wk-form4_1704250090.xml
2024-01-02T21:48:18-05:00,Walt Disney Co,4,https://www.sec.gov/Archives/edgar/data/1744489/000174448924000028/xslF345X05/wk-form4_1704250090.xml
2024-01-02T21:48:07-05:00,Walt Disney Co,4,https://www.sec.gov/Archives/edgar/data/1205005/000174448924000027/xslF345X05/wk-form4_1704250079.xml
2024-01-02T21:48:07-05:00,CATZ SAFRA,4,https://www.sec.gov/Archives/edgar/data/1205005/000174448924000027/xslF345X05/wk-form4_1704250079.xml
2024-01-02T21:47:56-05:00,Walt Disney Co,4,https://www.sec.gov/Archives/edgar/data/1577369/000174448924000026/xslF345X05/wk-form4_1704250068.xml
2024-01-02T21:47:56-05:00,Everson Carolyn,4,https://www.sec.gov/Archives/edgar/data/1577369/000174448924000026/xslF345X05/wk-form4_1704250068.xml
2024-01-02T21:47:46-05:00,Walt Disney Co,4,https://www.sec.gov/Archives/edgar/data/1359067/000174448924000025/xslF345X05/wk-form4_1704250057.xml
2024-01-02T21:47:46-05:00,Rice Derica W,4,https://www.sec.gov/Archives/edgar/data/1359067/000174448924000025/xslF345X05/wk-form4_1704250057.xml
2024-01-02T21:47:35-05:00,Chang Amy,4,https://www.sec.gov/Archives/edgar/data/1551504/000174448924000024/xslF345X05/wk-form4_1704250045.xml
2024-01-02T21:47:35-05:00,Walt Disney Co,4,https://www.sec.gov/Archives/edgar/data/1551504/000174448924000024/xslF345X05/wk-form4_1704250045.xml
2024-01-02T21:47:26-05:00,Nukkleus Inc.,15-12G,https://www.sec.gov/Archives/edgar/data/1592782/000121390024000412/ea191016-1512g_nukkleus.htm
2024-01-02T21:47:23-05:00,LAGOMASINO MARIA ELENA,4,https://www.sec.gov/Archives/edgar/data/1224543/000174448924000023/xslF345X05/wk-form4_1704250034.xml
2024-01-02T21:47:23-05:00,Walt Disney Co,4,https://www.sec.gov/Archives/edgar/data/1224543/000174448924000023/xslF345X05/wk-form4_1704250034.xml
2024-01-02T21:45:59-05:00,NileBuilt Corp. / WY,1-A/A,https://www.sec.gov/Archives/edgar/data/1966498/000149315224000175/xsl1-A_X01/primary_doc.xml
2024-01-02T21:45:41-05:00,ROYAL BANK OF CANADA,FWP,https://www.sec.gov/Archives/edgar/data/1000275/000114036124000304/ef20017888_fwp.htm
2024-01-02T21:45:27-05:00,ROYAL BANK OF CANADA,FWP,https://www.sec.gov/Archives/edgar/data/1000275/000114036124000303/ef20017847_fwp.htm
2024-01-02T21:43:23-05:00,DNT Asset Trust,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000495/xslF345X02/ownership.xml
2024-01-02T21:43:23-05:00,BLACKROCK MUNICIPAL INCOME TRUST,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000495/xslF345X02/ownership.xml
2024-01-02T21:43:23-05:00,JPMORGAN CHASE & CO,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000495/xslF345X02/ownership.xml
2024-01-02T21:43:06-05:00,"SomaLogic, Inc.",DEFA14A,https://www.sec.gov/Archives/edgar/data/1837412/000110465924000470/tm2333952d7_defa14a.htm
2024-01-02T21:42:50-05:00,BLACKROCK MUNICIPAL INCOME QUALITY TRUST,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000494/xslF345X02/ownership.xml
2024-01-02T21:42:50-05:00,DNT Asset Trust,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000494/xslF345X02/ownership.xml
2024-01-02T21:42:50-05:00,JPMORGAN CHASE & CO,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000494/xslF345X02/ownership.xml
2024-01-02T21:42:45-05:00,"Strategic Value Private Investors II, LP",D,https://www.sec.gov/Archives/edgar/data/2006681/000200668124000001/xslFormDX01/primary_doc.xml
2024-01-02T21:42:45-05:00,"Groupon, Inc.",SC 13G/A,https://www.sec.gov/Archives/edgar/data/1490281/000091957424000022/d10923922_13-g.htm
2024-01-02T21:42:45-05:00,"Divisadero Street Capital Management, LP",SC 13G/A,https://www.sec.gov/Archives/edgar/data/1490281/000091957424000022/d10923922_13-g.htm
2024-01-02T21:42:19-05:00,"Laird Superfood, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1650696/000143774924000284/lsf20240102_8k.htm
2024-01-02T21:41:02-05:00,DNT Asset Trust,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000492/xslF345X02/ownership.xml
2024-01-02T21:41:02-05:00,JPMORGAN CHASE & CO,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000492/xslF345X02/ownership.xml
2024-01-02T21:41:02-05:00,"BLACKROCK INVESTMENT QUALITY MUNICIPAL TRUST, INC.",3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000492/xslF345X02/ownership.xml
2024-01-02T21:37:17-05:00,BLACKROCK MUNICIPAL INCOME TRUST II,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000488/xslF345X02/ownership.xml
2024-01-02T21:37:17-05:00,DNT Asset Trust,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000488/xslF345X02/ownership.xml
