filed_at,company_name,form_type,url
2024-01-02T18:00:42-05:00,Johnson Ashley F.,4,https://www.sec.gov/Archives/edgar/data/1572854/000183683324000002/xslF345X05/wk-form4_1704236433.xml
2024-01-02T18:00:42-05:00,Planet Labs PBC,4,https://www.sec.gov/Archives/edgar/data/1572854/000183683324000002/xslF345X05/wk-form4_1704236433.xml
2024-01-02T17:51:19-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000023/xslForm13F_X02/primary_doc.xml
2024-01-02T17:47:43-05:00,Johnson Gwendolyn Mary,4,https://www.sec.gov/Archives/edgar/data/1045450/000104545024000006/xslF345X05/primary_doc.xml
2024-01-02T17:47:43-05:00,EPR PROPERTIES,4,https://www.sec.gov/Archives/edgar/data/1045450/000104545024000006/xslF345X05/primary_doc.xml
2024-01-02T17:45:39-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000022/xslForm13F_X02/primary_doc.xml
2024-01-02T17:42:12-05:00,JOHNSON RADY A,4,https://www.sec.gov/Archives/edgar/data/78003/000122520824000072/xslF345X05/doc4.xml
2024-01-02T17:42:12-05:00,PFIZER INC,4,https://www.sec.gov/Archives/edgar/data/78003/000122520824000072/xslF345X05/doc4.xml
2024-01-02T17:39:25-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000021/xslForm13F_X02/primary_doc.xml
2024-01-02T17:33:20-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000020/xslForm13F_X02/primary_doc.xml
2024-01-02T17:27:18-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000019/xslForm13F_X02/primary_doc.xml
