filed_at,company_name,form_type,url
2024-01-02T21:49:17-05:00,Coleman Sonia L,4,https://www.sec.gov/Archives/edgar/data/1744489/000174448924000033/xslF345X05/wk-form4_1704250148.xml
2024-01-02T21:49:17-05:00,Walt Disney Co,4,https://www.sec.gov/Archives/edgar/data/1744489/000174448924000033/xslF345X05/wk-form4_1704250148.xml
2024-01-02T21:49:05-05:00,Walt Disney Co,4,https://www.sec.gov/Archives/edgar/data/1744489/000174448924000032/xslF345X05/wk-form4_1704250138.xml
2024-01-02T21:49:05-05:00,MCDONALD CALVIN,4,https://www.sec.gov/Archives/edgar/data/1744489/000174448924000032/xslF345X05/wk-form4_1704250138.xml
2024-01-02T21:49:04-05:00,JPMORGAN CHASE & CO,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000497/xslF345X02/ownership.xml
2024-01-02T21:49:04-05:00,DNT Asset Trust,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000497/xslF345X02/ownership.xml
2024-01-02T21:49:04-05:00,"BLACKROCK MUNIVEST FUND, INC.",3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000497/xslF345X02/ownership.xml
2024-01-02T21:48:55-05:00,Walt Disney Co,4,https://www.sec.gov/Archives/edgar/data/1236641/000174448924000031/xslF345X05/wk-form4_1704250126.xml
2024-01-02T21:48:55-05:00,PARKER MARK G,4,https://www.sec.gov/Archives/edgar/data/1236641/000174448924000031/xslF345X05/wk-form4_1704250126.xml
2024-01-02T21:48:44-05:00,Walt Disney Co,4,https://www.sec.gov/Archives/edgar/data/1492154/000174448924000030/xslF345X05/wk-form4_1704250114.xml
2024-01-02T21:48:44-05:00,Barra Mary T,4,https://www.sec.gov/Archives/edgar/data/1492154/000174448924000030/xslF345X05/wk-form4_1704250114.xml
2024-01-02T21:48:31-05:00,deSouza Francis A,4,https://www.sec.gov/Archives/edgar/data/1520943/000174448924000029/xslF345X05/wk-form4_1704250101.xml
2024-01-02T21:48:31-05:00,Walt Disney Co,4,https://www.sec.gov/Archives/edgar/data/1520943/000174448924000029/xslF345X05/wk-form4_1704250101.xml
2024-01-02T21:48:18-05:00,Froman Michael B. G.,4,https://www.sec.gov/Archives/edgar/data/1744489/000174448924000028/xslF345X05/wk-form4_1704250090.xml
2024-01-02T21:48:18-05:00,Walt Disney Co,4,https://www.sec.gov/Archives/edgar/data/1744489/000174448924000028/xslF345X05/wk-form4_1704250090.xml
2024-01-02T21:48:07-05:00,Walt Disney Co,4,https://www.sec.gov/Archives/edgar/data/1205005/000174448924000027/xslF345X05/wk-form4_1704250079.xml
2024-01-02T21:48:07-05:00,CATZ SAFRA,4,https://www.sec.gov/Archives/edgar/data/1205005/000174448924000027/xslF345X05/wk-form4_1704250079.xml
2024-01-02T21:47:56-05:00,Walt Disney Co,4,https://www.sec.gov/Archives/edgar/data/1577369/000174448924000026/xslF345X05/wk-form4_1704250068.xml
2024-01-02T21:47:56-05:00,Everson Carolyn,4,https://www.sec.gov/Archives/edgar/data/1577369/000174448924000026/xslF345X05/wk-form4_1704250068.xml
2024-01-02T21:47:46-05:00,Walt Disney Co,4,https://www.sec.gov/Archives/edgar/data/1359067/000174448924000025/xslF345X05/wk-form4_1704250057.xml
2024-01-02T21:47:46-05:00,Rice Derica W,4,https://www.sec.gov/Archives/edgar/data/1359067/000174448924000025/xslF345X05/wk-form4_1704250057.xml
2024-01-02T21:47:35-05:00,Chang Amy,4,https://www.sec.gov/Archives/edgar/data/1551504/000174448924000024/xslF345X05/wk-form4_1704250045.xml
2024-01-02T21:47:35-05:00,Walt Disney Co,4,https://www.sec.gov/Archives/edgar/data/1551504/000174448924000024/xslF345X05/wk-form4_1704250045.xml
2024-01-02T21:47:23-05:00,LAGOMASINO MARIA ELENA,4,https://www.sec.gov/Archives/edgar/data/1224543/000174448924000023/xslF345X05/wk-form4_1704250034.xml
2024-01-02T21:47:23-05:00,Walt Disney Co,4,https://www.sec.gov/Archives/edgar/data/1224543/000174448924000023/xslF345X05/wk-form4_1704250034.xml
2024-01-02T21:43:23-05:00,DNT Asset Trust,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000495/xslF345X02/ownership.xml
2024-01-02T21:43:23-05:00,BLACKROCK MUNICIPAL INCOME TRUST,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000495/xslF345X02/ownership.xml
2024-01-02T21:43:23-05:00,JPMORGAN CHASE & CO,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000495/xslF345X02/ownership.xml
2024-01-02T21:42:50-05:00,BLACKROCK MUNICIPAL INCOME QUALITY TRUST,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000494/xslF345X02/ownership.xml
2024-01-02T21:42:50-05:00,DNT Asset Trust,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000494/xslF345X02/ownership.xml
2024-01-02T21:42:50-05:00,JPMORGAN CHASE & CO,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000494/xslF345X02/ownership.xml
2024-01-02T21:41:02-05:00,DNT Asset Trust,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000492/xslF345X02/ownership.xml
2024-01-02T21:41:02-05:00,JPMORGAN CHASE & CO,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000492/xslF345X02/ownership.xml
2024-01-02T21:41:02-05:00,"BLACKROCK INVESTMENT QUALITY MUNICIPAL TRUST, INC.",3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000492/xslF345X02/ownership.xml
2024-01-02T21:37:17-05:00,BLACKROCK MUNICIPAL INCOME TRUST II,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000488/xslF345X02/ownership.xml
2024-01-02T21:37:17-05:00,DNT Asset Trust,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000488/xslF345X02/ownership.xml
2024-01-02T21:37:17-05:00,JPMORGAN CHASE & CO,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000488/xslF345X02/ownership.xml
2024-01-02T21:35:57-05:00,DNT Asset Trust,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000487/xslF345X02/ownership.xml
2024-01-02T21:35:57-05:00,"BLACKROCK MUNIHOLDINGS QUALITY FUND II, INC.",3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000487/xslF345X02/ownership.xml
2024-01-02T21:35:57-05:00,JPMORGAN CHASE & CO,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000487/xslF345X02/ownership.xml
2024-01-02T21:33:08-05:00,JPMORGAN CHASE & CO,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000484/xslF345X02/ownership.xml
2024-01-02T21:33:08-05:00,"BLACKROCK MUNIVEST FUND II, INC.",3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000484/xslF345X02/ownership.xml
2024-01-02T21:33:08-05:00,DNT Asset Trust,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000484/xslF345X02/ownership.xml
2024-01-02T21:32:08-05:00,DNT Asset Trust,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000483/xslF345X02/ownership.xml
2024-01-02T21:32:08-05:00,"BLACKROCK MUNIYIELD QUALITY FUND II, INC.",3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000483/xslF345X02/ownership.xml
2024-01-02T21:32:08-05:00,JPMORGAN CHASE & CO,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000483/xslF345X02/ownership.xml
2024-01-02T21:29:29-05:00,"BLACKROCK MUNIHOLDINGS FUND, INC.",3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000480/xslF345X02/ownership.xml
2024-01-02T21:29:29-05:00,JPMORGAN CHASE & CO,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000480/xslF345X02/ownership.xml
2024-01-02T21:29:29-05:00,DNT Asset Trust,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000480/xslF345X02/ownership.xml
2024-01-02T21:16:07-05:00,JPMorgan Chase Financial Co. LLC,424B2,https://www.sec.gov/Archives/edgar/data/19617/000121390024000406/ea167836_424b2.htm
2024-01-02T21:16:07-05:00,JPMORGAN CHASE & CO,424B2,https://www.sec.gov/Archives/edgar/data/19617/000121390024000406/ea167836_424b2.htm
2024-01-02T21:01:18-05:00,JPMorgan Chase Financial Co. LLC,FWP,https://www.sec.gov/Archives/edgar/data/1665650/000121390024000402/ea167726_fwp.htm
2024-01-02T21:00:35-05:00,JPMORGAN CHASE & CO,FWP,https://www.sec.gov/Archives/edgar/data/19617/000121390024000401/ea167726_fwp.htm
2024-01-02T20:59:43-05:00,JPMorgan Chase Financial Co. LLC,424B2,https://www.sec.gov/Archives/edgar/data/19617/000121390024000400/ea167724_424b2.htm
2024-01-02T20:59:43-05:00,JPMORGAN CHASE & CO,424B2,https://www.sec.gov/Archives/edgar/data/19617/000121390024000400/ea167724_424b2.htm
2024-01-02T20:48:46-05:00,JPMORGAN CHASE & CO,424B2,https://www.sec.gov/Archives/edgar/data/19617/000121390024000395/ea167839_424b2.htm
2024-01-02T20:48:46-05:00,JPMorgan Chase Financial Co. LLC,424B2,https://www.sec.gov/Archives/edgar/data/19617/000121390024000395/ea167839_424b2.htm
2024-01-02T20:17:48-05:00,JPMorgan Chase Financial Co. LLC,424B2,https://www.sec.gov/Archives/edgar/data/19617/000121390024000387/ea167829_424b2.htm
2024-01-02T20:17:48-05:00,JPMORGAN CHASE & CO,424B2,https://www.sec.gov/Archives/edgar/data/19617/000121390024000387/ea167829_424b2.htm
2024-01-02T20:15:19-05:00,JPMorgan Chase Financial Co. LLC,FWP,https://www.sec.gov/Archives/edgar/data/1665650/000121390024000385/ea167832_fwp.htm
2024-01-02T20:14:56-05:00,JPMORGAN CHASE & CO,FWP,https://www.sec.gov/Archives/edgar/data/19617/000121390024000384/ea167832_fwp.htm
2024-01-02T20:12:05-05:00,JPMorgan Chase Financial Co. LLC,424B2,https://www.sec.gov/Archives/edgar/data/19617/000121390024000381/ea167830_424b2.htm
2024-01-02T20:12:05-05:00,JPMORGAN CHASE & CO,424B2,https://www.sec.gov/Archives/edgar/data/19617/000121390024000381/ea167830_424b2.htm
2024-01-02T20:11:00-05:00,Better Home & Finance Holding Co,4,https://www.sec.gov/Archives/edgar/data/1835856/000162828024000114/xslF345X05/wk-form4_1704244245.xml
2024-01-02T20:11:00-05:00,Tuffin Paula,4,https://www.sec.gov/Archives/edgar/data/1835856/000162828024000114/xslF345X05/wk-form4_1704244245.xml
2024-01-02T20:10:43-05:00,Nicholas J. Calamari,4,https://www.sec.gov/Archives/edgar/data/1614749/000162828024000113/xslF345X05/wk-form4_1704244233.xml
2024-01-02T20:10:43-05:00,Better Home & Finance Holding Co,4,https://www.sec.gov/Archives/edgar/data/1614749/000162828024000113/xslF345X05/wk-form4_1704244233.xml
2024-01-02T20:09:08-05:00,JPMorgan Chase Financial Co. LLC,FWP,https://www.sec.gov/Archives/edgar/data/1665650/000121390024000378/ea167831_fwp.htm
2024-01-02T20:08:41-05:00,JPMORGAN CHASE & CO,FWP,https://www.sec.gov/Archives/edgar/data/19617/000121390024000377/ea167831_fwp.htm
2024-01-02T19:26:07-05:00,Cannabist Co Holdings Inc.,4,https://www.sec.gov/Archives/edgar/data/1776738/000091228224000010/xslF345X05/form4.xml
2024-01-02T19:26:07-05:00,WORTHINGTON ALISON,4,https://www.sec.gov/Archives/edgar/data/1776738/000091228224000010/xslF345X05/form4.xml
2024-01-02T19:20:53-05:00,JPMorgan Chase Financial Co. LLC,424B2,https://www.sec.gov/Archives/edgar/data/19617/000121390024000375/ea167838_424b2.htm
2024-01-02T19:20:53-05:00,JPMORGAN CHASE & CO,424B2,https://www.sec.gov/Archives/edgar/data/19617/000121390024000375/ea167838_424b2.htm
2024-01-02T19:20:00-05:00,JPMorgan Chase Financial Co. LLC,424B2,https://www.sec.gov/Archives/edgar/data/19617/000121390024000374/ea167833_424b2.htm
