filed_at,company_name,form_type,url
2024-01-02T17:56:49-05:00,Allan Donald,4,https://www.sec.gov/Archives/edgar/data/93556/000009355624000002/xslF345X05/wk-form4_1704236200.xml
2024-01-02T17:56:49-05:00,"STANLEY BLACK & DECKER, INC.",4,https://www.sec.gov/Archives/edgar/data/93556/000009355624000002/xslF345X05/wk-form4_1704236200.xml
2024-01-02T17:51:19-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000023/xslForm13F_X02/primary_doc.xml
2024-01-02T17:45:39-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000022/xslForm13F_X02/primary_doc.xml
2024-01-02T17:40:27-05:00,"Cardio Diagnostics Holdings, Inc.",4,https://www.sec.gov/Archives/edgar/data/1870144/000148618924000001/xslF345X05/primary_doc.xml
2024-01-02T17:40:27-05:00,Lau Stanley K.,4,https://www.sec.gov/Archives/edgar/data/1870144/000148618924000001/xslF345X05/primary_doc.xml
2024-01-02T17:39:25-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000021/xslForm13F_X02/primary_doc.xml
2024-01-02T17:33:20-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000020/xslForm13F_X02/primary_doc.xml
2024-01-02T17:27:18-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000019/xslForm13F_X02/primary_doc.xml
2024-01-02T17:21:33-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000018/xslForm13F_X02/primary_doc.xml
2024-01-02T17:19:37-05:00,Morgan Stanley Direct Lending Fund,8-K,https://www.sec.gov/Archives/edgar/data/1782524/000178252424000003/msdlf-20231228.htm
2024-01-02T17:10:30-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000017/xslForm13F_X02/primary_doc.xml
2024-01-02T17:05:04-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000016/xslForm13F_X02/primary_doc.xml
2024-01-02T16:58:50-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000015/xslForm13F_X02/primary_doc.xml
2024-01-02T16:52:51-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000014/xslForm13F_X02/primary_doc.xml
2024-01-02T16:46:46-05:00,NATIONAL BEVERAGE CORP,4,https://www.sec.gov/Archives/edgar/data/69891/000143774924000213/xslF345X05/rdgdoc.xml
2024-01-02T16:46:46-05:00,sheridan stanley michael,4,https://www.sec.gov/Archives/edgar/data/69891/000143774924000213/xslF345X05/rdgdoc.xml
2024-01-02T16:46:05-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000013/xslForm13F_X02/primary_doc.xml
2024-01-02T16:39:56-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000012/xslForm13F_X02/primary_doc.xml
2024-01-02T16:36:37-05:00,CONSOLIDATED EDISON INC,4,https://www.sec.gov/Archives/edgar/data/1047862/000106299324000044/xslF345X05/form4.xml
2024-01-02T16:36:37-05:00,Stanley Deirdre,4,https://www.sec.gov/Archives/edgar/data/1047862/000106299324000044/xslF345X05/form4.xml
2024-01-02T16:23:20-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000011/xslForm13F_X02/primary_doc.xml
2024-01-02T16:18:22-05:00,PARK NATIONAL CORP /OH/,13F-HR,https://www.sec.gov/Archives/edgar/data/805676/000110465924000341/xslForm13F_X02/primary_doc.xml
2024-01-02T16:12:54-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000010/xslForm13F_X02/primary_doc.xml
2024-01-02T16:06:51-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000009/xslForm13F_X02/primary_doc.xml
2024-01-02T16:00:10-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000008/xslForm13F_X02/primary_doc.xml
2024-01-02T15:46:20-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000007/xslForm13F_X02/primary_doc.xml
2024-01-02T15:42:34-05:00,Morgan Stanley Finance LLC,FWP,https://www.sec.gov/Archives/edgar/data/1666268/000183988224000076/msf557_fwep-00027.htm
2024-01-02T15:42:12-05:00,MORGAN STANLEY,FWP,https://www.sec.gov/Archives/edgar/data/895421/000183988224000075/ms557_fwep-00027.htm
2024-01-02T15:25:01-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000006/xslForm13F_X02/primary_doc.xml
2024-01-02T15:16:07-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000005/xslForm13F_X02/primary_doc.xml
2024-01-02T15:08:39-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000004/xslForm13F_X02/primary_doc.xml
2024-01-02T15:01:13-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000003/xslForm13F_X02/primary_doc.xml
2024-01-02T15:00:51-05:00,MORGAN STANLEY,424B2,https://www.sec.gov/Archives/edgar/data/895421/000183988224000070/ms471_424b2-00008.htm
2024-01-02T15:00:51-05:00,Morgan Stanley Finance LLC,424B2,https://www.sec.gov/Archives/edgar/data/895421/000183988224000070/ms471_424b2-00008.htm
2024-01-02T14:53:17-05:00,MORGAN STANLEY,424B2,https://www.sec.gov/Archives/edgar/data/895421/000183988224000066/ms420_424b2-00007.htm
2024-01-02T14:53:17-05:00,Morgan Stanley Finance LLC,424B2,https://www.sec.gov/Archives/edgar/data/895421/000183988224000066/ms420_424b2-00007.htm
2024-01-02T14:50:09-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000002/xslForm13F_X02/primary_doc.xml
2024-01-02T14:48:22-05:00,APPLETON PARTNERS INC/MA,13F-HR,https://www.sec.gov/Archives/edgar/data/1055290/000095012324000010/xslForm13F_X02/primary_doc.xml
2024-01-02T14:09:41-05:00,First Financial Bank - Trust Division,13F-HR,https://www.sec.gov/Archives/edgar/data/1315339/000131533924000002/xslForm13F_X02/primary_doc.xml
2024-01-02T14:08:36-05:00,"Symmetry Partners, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1697493/000169749324000001/xslForm13F_X02/primary_doc.xml
2024-01-02T13:42:56-05:00,ST GERMAIN D J CO INC,13F-HR,https://www.sec.gov/Archives/edgar/data/831571/000083157124000001/xslForm13F_X02/primary_doc.xml
2024-01-02T13:08:18-05:00,VIRGINIA RETIREMENT SYSTEMS ET AL,13F-HR,https://www.sec.gov/Archives/edgar/data/1005354/000100535424000001/xslForm13F_X02/primary_doc.xml
2024-01-02T13:06:13-05:00,Morgan Stanley Finance LLC,424B2,https://www.sec.gov/Archives/edgar/data/895421/000183988224000060/ms412_424b2-00021.htm
2024-01-02T13:06:13-05:00,MORGAN STANLEY,424B2,https://www.sec.gov/Archives/edgar/data/895421/000183988224000060/ms412_424b2-00021.htm
2024-01-02T13:01:44-05:00,MORGAN STANLEY,424B2,https://www.sec.gov/Archives/edgar/data/895421/000183988224000059/ms470_424b2-00020.htm
2024-01-02T13:01:44-05:00,Morgan Stanley Finance LLC,424B2,https://www.sec.gov/Archives/edgar/data/895421/000183988224000059/ms470_424b2-00020.htm
2024-01-02T12:56:12-05:00,Morgan Stanley Finance LLC,424B2,https://www.sec.gov/Archives/edgar/data/895421/000183988224000056/ms389_424b2-00019.htm
2024-01-02T12:56:12-05:00,MORGAN STANLEY,424B2,https://www.sec.gov/Archives/edgar/data/895421/000183988224000056/ms389_424b2-00019.htm
2024-01-02T12:52:22-05:00,MORGAN STANLEY,424B2,https://www.sec.gov/Archives/edgar/data/895421/000183988224000054/ms493_424b2-00018.htm
2024-01-02T12:52:22-05:00,Morgan Stanley Finance LLC,424B2,https://www.sec.gov/Archives/edgar/data/895421/000183988224000054/ms493_424b2-00018.htm
2024-01-02T12:48:45-05:00,"SilverSun Technologies, Inc.",4,https://www.sec.gov/Archives/edgar/data/1180389/000118518524000006/xslF345X05/ownership.xml
2024-01-02T12:48:45-05:00,WUNDERLICH STANLEY,4,https://www.sec.gov/Archives/edgar/data/1180389/000118518524000006/xslF345X05/ownership.xml
2024-01-02T12:48:44-05:00,WUNDERLICH STANLEY,144,https://www.sec.gov/Archives/edgar/data/1180389/000118518524000005/xsl144X01/primary_doc.xml
