filed_at,company_name,form_type,url
2024-01-02T17:51:19-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000023/xslForm13F_X02/primary_doc.xml
2024-01-02T17:45:39-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000022/xslForm13F_X02/primary_doc.xml
2024-01-02T17:39:25-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000021/xslForm13F_X02/primary_doc.xml
2024-01-02T17:33:20-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000020/xslForm13F_X02/primary_doc.xml
2024-01-02T17:27:18-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000019/xslForm13F_X02/primary_doc.xml
2024-01-02T17:21:33-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000018/xslForm13F_X02/primary_doc.xml
2024-01-02T17:13:55-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000183988224000084/ubs_424b2-00029.htm
2024-01-02T17:10:30-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000017/xslForm13F_X02/primary_doc.xml
2024-01-02T17:05:04-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000016/xslForm13F_X02/primary_doc.xml
2024-01-02T16:58:50-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000015/xslForm13F_X02/primary_doc.xml
2024-01-02T16:52:51-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000014/xslForm13F_X02/primary_doc.xml
2024-01-02T16:48:05-05:00,On Holding AG,144,https://www.sec.gov/Archives/edgar/data/1858985/000195824424000005/xsl144X01/primary_doc.xml
2024-01-02T16:48:05-05:00,Hoffmann Martin,144,https://www.sec.gov/Archives/edgar/data/1858985/000195824424000004/xsl144X01/primary_doc.xml
2024-01-02T16:48:05-05:00,Maurer Marc,144,https://www.sec.gov/Archives/edgar/data/1858985/000195824424000005/xsl144X01/primary_doc.xml
2024-01-02T16:48:05-05:00,On Holding AG,144,https://www.sec.gov/Archives/edgar/data/1858985/000195824424000004/xsl144X01/primary_doc.xml
2024-01-02T16:46:16-05:00,AG Realty Value XI  REIT LLC,D,https://www.sec.gov/Archives/edgar/data/2005499/000200550524000001/xslFormDX01/primary_doc.xml
2024-01-02T16:46:16-05:00,AG Realty Value XI  REIT LLC,D,https://www.sec.gov/Archives/edgar/data/2005499/000200550524000001/xslFormDX01/primary_doc.xml
2024-01-02T16:46:16-05:00,AG Realty Value XI  REIT LLC,D,https://www.sec.gov/Archives/edgar/data/2005499/000200550524000001/xslFormDX01/primary_doc.xml
2024-01-02T16:46:16-05:00,AG Realty Value XI  REIT LLC,D,https://www.sec.gov/Archives/edgar/data/2005499/000200550524000001/xslFormDX01/primary_doc.xml
2024-01-02T16:46:05-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000013/xslForm13F_X02/primary_doc.xml
2024-01-02T16:39:56-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000012/xslForm13F_X02/primary_doc.xml
2024-01-02T16:23:20-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000011/xslForm13F_X02/primary_doc.xml
2024-01-02T16:18:22-05:00,PARK NATIONAL CORP /OH/,13F-HR,https://www.sec.gov/Archives/edgar/data/805676/000110465924000341/xslForm13F_X02/primary_doc.xml
2024-01-02T16:18:04-05:00,AG Twin Brook Capital Income Fund,SC TO-I,https://www.sec.gov/Archives/edgar/data/1913724/000191372424000002/tcap-scheduleto12x31x23.htm
2024-01-02T16:18:03-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000111444624000012/tc8712470f_1fwp.htm
2024-01-02T16:18:00-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000111444624000011/tc8712470i_0fwp.htm
2024-01-02T16:17:45-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000111444624000010/tc8712468f_1fwp.htm
2024-01-02T16:17:35-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000111444624000009/tc8712468i_0fwp.htm
2024-01-02T16:16:39-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000111444624000008/tc8712465f_1fwp.htm
2024-01-02T16:16:28-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000111444624000007/tc8712465i_0fwp.htm
2024-01-02T16:16:19-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000111444624000006/tc8712464f_1fwp.htm
2024-01-02T16:16:14-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000111444624000005/tc8712464i_0fwp.htm
2024-01-02T16:16:08-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000111444624000004/tc8712462f_1fwp.htm
2024-01-02T16:16:06-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000111444624000003/tc8712462i_0fwp.htm
2024-01-02T16:15:58-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000111444624000002/tc8712461f_1fwp.htm
2024-01-02T16:15:45-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000111444624000001/tc8712461i_0fwp.htm
2024-01-02T16:12:54-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000010/xslForm13F_X02/primary_doc.xml
2024-01-02T16:10:54-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000183988224000082/ubs_424b2-00026.htm
2024-01-02T16:08:15-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000183988224000081/ubs_424b2-18559.htm
2024-01-02T16:06:51-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000009/xslForm13F_X02/primary_doc.xml
2024-01-02T16:05:08-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000183988224000080/ubs_424b2-00001.htm
2024-01-02T16:00:10-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000008/xslForm13F_X02/primary_doc.xml
2024-01-02T15:59:51-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000183988224000079/ubs_424b2-00025.htm
2024-01-02T15:48:07-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000183988224000078/ubs_424b2-18565.htm
2024-01-02T15:47:07-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000183988224000077/ubs_424b2-00024.htm
2024-01-02T15:46:20-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000007/xslForm13F_X02/primary_doc.xml
2024-01-02T15:25:01-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000006/xslForm13F_X02/primary_doc.xml
2024-01-02T15:16:07-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000005/xslForm13F_X02/primary_doc.xml
2024-01-02T15:08:39-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000004/xslForm13F_X02/primary_doc.xml
2024-01-02T15:01:13-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000003/xslForm13F_X02/primary_doc.xml
2024-01-02T14:59:55-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000183988224000069/ubs_424b2-18472.htm
2024-01-02T14:57:11-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000183988224000068/ubs_424b2-18470.htm
2024-01-02T14:50:09-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000002/xslForm13F_X02/primary_doc.xml
2024-01-02T14:48:22-05:00,APPLETON PARTNERS INC/MA,13F-HR,https://www.sec.gov/Archives/edgar/data/1055290/000095012324000010/xslForm13F_X02/primary_doc.xml
2024-01-02T14:23:30-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000183988224000063/ubs_424b2-18477.htm
2024-01-02T13:42:56-05:00,ST GERMAIN D J CO INC,13F-HR,https://www.sec.gov/Archives/edgar/data/831571/000083157124000001/xslForm13F_X02/primary_doc.xml
2024-01-02T13:24:09-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000183988224000062/ubs_424b2-18566.htm
2024-01-02T13:10:29-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000183988224000061/ubs_424b2-18568.htm
2024-01-02T13:08:18-05:00,VIRGINIA RETIREMENT SYSTEMS ET AL,13F-HR,https://www.sec.gov/Archives/edgar/data/1005354/000100535424000001/xslForm13F_X02/primary_doc.xml
2024-01-02T12:58:20-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000183988224000058/ubs_424b2-18567.htm
2024-01-02T12:42:32-05:00,M&R CAPITAL MANAGEMENT INC,13F-HR,https://www.sec.gov/Archives/edgar/data/1057395/000121465924000039/xslForm13F_X02/primary_doc.xml
2024-01-02T12:37:48-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000183988224000051/ubs_424b2-18561.htm
2024-01-02T11:26:51-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000183988224000032/ubs_424b2-18555.htm
2024-01-02T11:10:17-05:00,GoalVest Advisory LLC,13F-HR,https://www.sec.gov/Archives/edgar/data/1839307/000183930724000001/xslForm13F_X02/primary_doc.xml
2024-01-02T11:07:52-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000183988224000030/ubs_424b2-00002.htm
2024-01-02T11:06:57-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000183988224000028/ubs_424b2-18560.htm
