filed_at,company_name,form_type,url
2024-01-02T21:00:25-05:00,SZE VICTOR S,4,https://www.sec.gov/Archives/edgar/data/1039065/000141588924000096/xslF345X05/form4-01022024_090116.xml
2024-01-02T21:00:25-05:00,OSI SYSTEMS INC,4,https://www.sec.gov/Archives/edgar/data/1039065/000141588924000096/xslF345X05/form4-01022024_090116.xml
2024-01-02T20:48:17-05:00,Quinn Ryan S.,4,https://www.sec.gov/Archives/edgar/data/1354327/000095010324000087/xslF345X05/dp204713_4-quinn.xml
2024-01-02T20:48:17-05:00,"PGT Innovations, Inc.",4,https://www.sec.gov/Archives/edgar/data/1354327/000095010324000087/xslF345X05/dp204713_4-quinn.xml
2024-01-02T20:00:12-05:00,"Southland Holdings, Inc.",4,https://www.sec.gov/Archives/edgar/data/1883814/000141588924000089/xslF345X05/form4-01022024_080104.xml
2024-01-02T20:00:12-05:00,Renda Frankie S.,4,https://www.sec.gov/Archives/edgar/data/1883814/000141588924000089/xslF345X05/form4-01022024_080104.xml
2024-01-02T18:47:03-05:00,RPT Realty,S-8 POS,https://www.sec.gov/Archives/edgar/data/842183/000114036124000252/ny20017825x2_s8pos.htm
2024-01-02T18:45:58-05:00,RPT Realty,S-8 POS,https://www.sec.gov/Archives/edgar/data/842183/000114036124000251/ny20017825x2_s8pos.htm
2024-01-02T18:45:02-05:00,RPT Realty,S-8 POS,https://www.sec.gov/Archives/edgar/data/842183/000114036124000250/ny20017825x2_s8pos.htm
2024-01-02T18:44:20-05:00,RPT Realty,S-8 POS,https://www.sec.gov/Archives/edgar/data/842183/000114036124000249/ny20017825x2_s8pos.htm
2024-01-02T18:03:42-05:00,WEISNER AIMEE S,4,https://www.sec.gov/Archives/edgar/data/718937/000120919124000222/xslF345X05/doc4.xml
2024-01-02T18:03:42-05:00,STAAR SURGICAL CO,4,https://www.sec.gov/Archives/edgar/data/718937/000120919124000222/xslF345X05/doc4.xml
2024-01-02T17:54:58-05:00,"GoalFusion Wealth Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1895678/000189567824000001/xslForm13F_X02/primary_doc.xml
2024-01-02T17:51:19-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000023/xslForm13F_X02/primary_doc.xml
2024-01-02T17:45:39-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000022/xslForm13F_X02/primary_doc.xml
2024-01-02T17:44:23-05:00,APOLIONA HAUNANI S,4,https://www.sec.gov/Archives/edgar/data/46195/000156218024000037/xslF345X05/primarydocument.xml
2024-01-02T17:44:23-05:00,BANK OF HAWAII CORP,4,https://www.sec.gov/Archives/edgar/data/46195/000156218024000037/xslF345X05/primarydocument.xml
2024-01-02T17:39:25-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000021/xslForm13F_X02/primary_doc.xml
2024-01-02T17:33:20-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000020/xslForm13F_X02/primary_doc.xml
2024-01-02T17:29:15-05:00,"CIVITAS RESOURCES, INC.",S-3ASR,https://www.sec.gov/Archives/edgar/data/1509589/000110465924000414/tm2333782-1_s3asr.htm
2024-01-02T17:27:18-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000019/xslForm13F_X02/primary_doc.xml
2024-01-02T17:21:33-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000018/xslForm13F_X02/primary_doc.xml
2024-01-02T17:16:39-05:00,"CG Oncology, Inc.",S-1,https://www.sec.gov/Archives/edgar/data/1991792/000119312524000766/d551455ds1.htm
2024-01-02T17:16:03-05:00,"InspireMD, Inc.",S-8,https://www.sec.gov/Archives/edgar/data/1433607/000149315224000131/forms-8.htm
2024-01-02T17:11:54-05:00,Gaines Leah S,144,https://www.sec.gov/Archives/edgar/data/1502377/000197248124000008/xsl144X01/primary_doc.xml
2024-01-02T17:11:54-05:00,"Contango ORE, Inc.",144,https://www.sec.gov/Archives/edgar/data/1502377/000197248124000008/xsl144X01/primary_doc.xml
2024-01-02T17:10:30-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000017/xslForm13F_X02/primary_doc.xml
2024-01-02T17:09:23-05:00,LOVE DENNIS M,144,https://www.sec.gov/Archives/edgar/data/75288/000195917324000042/xsl144X01/primary_doc.xml
2024-01-02T17:09:23-05:00,OXFORD INDUSTRIES INC,144,https://www.sec.gov/Archives/edgar/data/75288/000195917324000042/xsl144X01/primary_doc.xml
2024-01-02T17:05:04-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000016/xslForm13F_X02/primary_doc.xml
2024-01-02T17:02:38-05:00,OLD SECOND BANCORP INC,4,https://www.sec.gov/Archives/edgar/data/357173/000141588924000066/xslF345X05/form4-01022024_100127.xml
2024-01-02T17:02:38-05:00,ADAMS BRADLEY S.,4,https://www.sec.gov/Archives/edgar/data/357173/000141588924000066/xslF345X05/form4-01022024_100127.xml
2024-01-02T17:01:00-05:00,COMPOFELICE JOSEPH S,144,https://www.sec.gov/Archives/edgar/data/1041205/000197248124000007/xsl144X01/primary_doc.xml
2024-01-02T17:01:00-05:00,"Contango ORE, Inc.",144,https://www.sec.gov/Archives/edgar/data/1041205/000197248124000007/xsl144X01/primary_doc.xml
2024-01-02T17:00:34-05:00,COLLINS GARY S,4,https://www.sec.gov/Archives/edgar/data/357173/000141588924000064/xslF345X05/form4-01022024_100115.xml
2024-01-02T17:00:34-05:00,"MANNING & NAPIER FUND, INC.",N-CSR,https://www.sec.gov/Archives/edgar/data/751173/000199937124000018/mn-ncsr_103123.htm
2024-01-02T17:00:34-05:00,OLD SECOND BANCORP INC,4,https://www.sec.gov/Archives/edgar/data/357173/000141588924000064/xslF345X05/form4-01022024_100115.xml
2024-01-02T16:58:50-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000015/xslForm13F_X02/primary_doc.xml
2024-01-02T16:55:05-05:00,DeVeydt Wayne S,4,https://www.sec.gov/Archives/edgar/data/1321392/000163883324000002/xslF345X05/wk-form4_1704232491.xml
2024-01-02T16:55:05-05:00,"Surgery Partners, Inc.",4,https://www.sec.gov/Archives/edgar/data/1321392/000163883324000002/xslF345X05/wk-form4_1704232491.xml
2024-01-02T16:54:39-05:00,"BrightSpring Health Services, Inc.",S-1,https://www.sec.gov/Archives/edgar/data/1865782/000119312524000734/d251968ds1.htm
2024-01-02T16:52:51-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000014/xslForm13F_X02/primary_doc.xml
2024-01-02T16:47:10-05:00,"Ventyx Biosciences, Inc.",S-8,https://www.sec.gov/Archives/edgar/data/1851194/000119312524000729/d690977ds8.htm
2024-01-02T16:46:05-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000013/xslForm13F_X02/primary_doc.xml
2024-01-02T16:44:13-05:00,LEIBOWITZ REUBEN S,4,https://www.sec.gov/Archives/edgar/data/1063761/000141588924000054/xslF345X05/form4-01022024_090106.xml
2024-01-02T16:44:13-05:00,SIMON PROPERTY GROUP INC /DE/,4,https://www.sec.gov/Archives/edgar/data/1063761/000141588924000054/xslF345X05/form4-01022024_090106.xml
2024-01-02T16:41:44-05:00,Zecher Linda Kay,4,https://www.sec.gov/Archives/edgar/data/46080/000004608024000003/xslF345X05/wk-form4_1704231696.xml
2024-01-02T16:41:44-05:00,"HASBRO, INC.",4,https://www.sec.gov/Archives/edgar/data/46080/000004608024000003/xslF345X05/wk-form4_1704231696.xml
2024-01-02T16:40:14-05:00,Stoddart Richard S,4,https://www.sec.gov/Archives/edgar/data/46080/000004608024000002/xslF345X05/wk-form4_1704231604.xml
2024-01-02T16:40:14-05:00,"HASBRO, INC.",4,https://www.sec.gov/Archives/edgar/data/46080/000004608024000002/xslF345X05/wk-form4_1704231604.xml
2024-01-02T16:39:58-05:00,WOLTOSZ WALTER S,144,https://www.sec.gov/Archives/edgar/data/1023459/000195004724000072/xsl144X01/primary_doc.xml
2024-01-02T16:39:58-05:00,"Simulations Plus, Inc.",144,https://www.sec.gov/Archives/edgar/data/1023459/000195004724000072/xsl144X01/primary_doc.xml
2024-01-02T16:39:56-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000012/xslForm13F_X02/primary_doc.xml
2024-01-02T16:38:49-05:00,Gersh Lisa,4,https://www.sec.gov/Archives/edgar/data/46080/000004608024000001/xslF345X05/wk-form4_1704231518.xml
2024-01-02T16:38:49-05:00,"HASBRO, INC.",4,https://www.sec.gov/Archives/edgar/data/46080/000004608024000001/xslF345X05/wk-form4_1704231518.xml
2024-01-02T16:31:47-05:00,ENTERGY CORP /DE/,S-8 POS,https://www.sec.gov/Archives/edgar/data/65984/000006598424000002/a00124.htm
2024-01-02T16:29:51-05:00,Rallybio Corp,SC 13G/A,https://www.sec.gov/Archives/edgar/data/1388325/000119312524000710/d683049dsc13ga.htm
2024-01-02T16:29:51-05:00,Novo Holdings A/S,SC 13G/A,https://www.sec.gov/Archives/edgar/data/1388325/000119312524000710/d683049dsc13ga.htm
2024-01-02T16:28:59-05:00,LEGGETT & PLATT INC,4,https://www.sec.gov/Archives/edgar/data/58492/000005849224000012/xslF345X05/wk-form4_1704230915.xml
2024-01-02T16:28:59-05:00,Douglas Scott S,4,https://www.sec.gov/Archives/edgar/data/58492/000005849224000012/xslF345X05/wk-form4_1704230915.xml
2024-01-02T16:28:44-05:00,"KINGSTONE COMPANIES, INC.",4,https://www.sec.gov/Archives/edgar/data/33992/000102177124000002/xslF345X05/form4.xml
2024-01-02T16:28:44-05:00,Golden Meryl S.,4,https://www.sec.gov/Archives/edgar/data/33992/000102177124000002/xslF345X05/form4.xml
2024-01-02T16:23:20-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000011/xslForm13F_X02/primary_doc.xml
2024-01-02T16:22:03-05:00,"Arcellx, Inc.",S-8,https://www.sec.gov/Archives/edgar/data/1786205/000119312524000702/d54365ds8.htm
2024-01-02T16:21:50-05:00,VSE CORP,4,https://www.sec.gov/Archives/edgar/data/102752/000095017024000275/xslF345X05/ownership.xml
2024-01-02T16:21:50-05:00,Tehrani Farinaz S,4,https://www.sec.gov/Archives/edgar/data/102752/000095017024000275/xslF345X05/ownership.xml
2024-01-02T16:21:18-05:00,"STARWOOD PROPERTY TRUST, INC.",4,https://www.sec.gov/Archives/edgar/data/1034657/000110465924000343/xslF345X05/tm2333832-1_4seq1.xml
2024-01-02T16:21:18-05:00,STERNLICHT BARRY S,4,https://www.sec.gov/Archives/edgar/data/1034657/000110465924000343/xslF345X05/tm2333832-1_4seq1.xml
2024-01-02T16:18:22-05:00,PARK NATIONAL CORP /OH/,13F-HR,https://www.sec.gov/Archives/edgar/data/805676/000110465924000341/xslForm13F_X02/primary_doc.xml
2024-01-02T16:17:00-05:00,"Kontoor Brands, Inc.",4,https://www.sec.gov/Archives/edgar/data/1570948/000112760224000126/xslF345X05/form4.xml
2024-01-02T16:17:00-05:00,Schiller Mark L.,4,https://www.sec.gov/Archives/edgar/data/1570948/000112760224000126/xslF345X05/form4.xml
2024-01-02T16:16:00-05:00,"Kontoor Brands, Inc.",4,https://www.sec.gov/Archives/edgar/data/1760965/000112760224000123/xslF345X05/form4.xml
2024-01-02T16:16:00-05:00,Lynch Robert,4,https://www.sec.gov/Archives/edgar/data/1760965/000112760224000123/xslF345X05/form4.xml
2024-01-02T16:15:20-05:00,SHEARER ROBERT K,4,https://www.sec.gov/Archives/edgar/data/1234928/000112760224000121/xslF345X05/form4.xml
2024-01-02T16:15:20-05:00,"Kontoor Brands, Inc.",4,https://www.sec.gov/Archives/edgar/data/1234928/000112760224000121/xslF345X05/form4.xml
2024-01-02T16:15:16-05:00,Mereo Biopharma Group plc,3,https://www.sec.gov/Archives/edgar/data/1201256/000089924324000037/xslF345X02/doc3.xml
2024-01-02T16:15:16-05:00,WYZGA MICHAEL S,3,https://www.sec.gov/Archives/edgar/data/1201256/000089924324000037/xslF345X02/doc3.xml
2024-01-02T16:14:51-05:00,Gill Ronald S,4,https://www.sec.gov/Archives/edgar/data/1404655/000120919124000089/xslF345X05/doc4.xml
2024-01-02T16:14:51-05:00,HUBSPOT INC,4,https://www.sec.gov/Archives/edgar/data/1404655/000120919124000089/xslF345X05/doc4.xml
2024-01-02T16:12:54-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000010/xslForm13F_X02/primary_doc.xml
2024-01-02T16:10:31-05:00,"GeoVax Labs, Inc.",S-1,https://www.sec.gov/Archives/edgar/data/832489/000143774924000191/govx20231222_s1.htm
2024-01-02T16:09:27-05:00,"Gain Therapeutics, Inc.",424B3,https://www.sec.gov/Archives/edgar/data/1819411/000110465924000329/tm2332968d2_s1a.htm
2024-01-02T16:08:50-05:00,PARKER MARK S,4,https://www.sec.gov/Archives/edgar/data/1695295/000162828024000056/xslF345X05/wk-form4_1704229717.xml
2024-01-02T16:08:50-05:00,"HYDROFARM HOLDINGS GROUP, INC.",4,https://www.sec.gov/Archives/edgar/data/1695295/000162828024000056/xslF345X05/wk-form4_1704229717.xml
2024-01-02T16:06:51-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000009/xslForm13F_X02/primary_doc.xml
2024-01-02T16:06:29-05:00,TORO CO,4,https://www.sec.gov/Archives/edgar/data/737758/000112760224000104/xslF345X05/form4.xml
