filed_at,company_name,form_type,url
2024-01-02T17:51:19-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000023/xslForm13F_X02/primary_doc.xml
2024-01-02T17:45:39-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000022/xslForm13F_X02/primary_doc.xml
2024-01-02T17:39:25-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000021/xslForm13F_X02/primary_doc.xml
2024-01-02T17:33:20-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000020/xslForm13F_X02/primary_doc.xml
2024-01-02T17:27:18-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000019/xslForm13F_X02/primary_doc.xml
2024-01-02T17:21:33-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000018/xslForm13F_X02/primary_doc.xml
2024-01-02T17:10:30-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000017/xslForm13F_X02/primary_doc.xml
2024-01-02T17:05:04-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000016/xslForm13F_X02/primary_doc.xml
2024-01-02T16:58:50-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000015/xslForm13F_X02/primary_doc.xml
2024-01-02T16:52:51-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000014/xslForm13F_X02/primary_doc.xml
2024-01-02T16:46:05-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000013/xslForm13F_X02/primary_doc.xml
2024-01-02T16:39:56-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000012/xslForm13F_X02/primary_doc.xml
2024-01-02T16:23:20-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000011/xslForm13F_X02/primary_doc.xml
2024-01-02T16:12:54-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000010/xslForm13F_X02/primary_doc.xml
2024-01-02T16:06:51-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000009/xslForm13F_X02/primary_doc.xml
2024-01-02T16:00:10-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000008/xslForm13F_X02/primary_doc.xml
2024-01-02T15:46:20-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000007/xslForm13F_X02/primary_doc.xml
2024-01-02T15:25:01-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000006/xslForm13F_X02/primary_doc.xml
2024-01-02T15:16:07-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000005/xslForm13F_X02/primary_doc.xml
2024-01-02T15:08:39-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000004/xslForm13F_X02/primary_doc.xml
2024-01-02T15:01:13-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000003/xslForm13F_X02/primary_doc.xml
2024-01-02T14:50:09-05:00,"Anchor Investment Management, LLC",13F-HR,https://www.sec.gov/Archives/edgar/data/1634149/000163414924000002/xslForm13F_X02/primary_doc.xml
2024-01-02T13:42:56-05:00,ST GERMAIN D J CO INC,13F-HR,https://www.sec.gov/Archives/edgar/data/831571/000083157124000001/xslForm13F_X02/primary_doc.xml
2024-01-02T13:21:04-05:00,Global Wealth Strategies & Associates,13F-HR,https://www.sec.gov/Archives/edgar/data/1912297/000191229724000001/xslForm13F_X02/primary_doc.xml
2024-01-02T12:42:32-05:00,M&R CAPITAL MANAGEMENT INC,13F-HR,https://www.sec.gov/Archives/edgar/data/1057395/000121465924000039/xslForm13F_X02/primary_doc.xml
2024-01-02T06:02:35-05:00,TotalEnergies SE,6-K,https://www.sec.gov/Archives/edgar/data/879764/000110465924000017/tm241280d1_6k.htm
2023-12-29T17:31:44-05:00,Twelve Seas Investment Co. II,425,https://www.sec.gov/Archives/edgar/data/1819498/000121390023100112/ea190772-8k425_twelve2.htm
2023-12-29T17:28:33-05:00,Twelve Seas Investment Co. II,8-K,https://www.sec.gov/Archives/edgar/data/1819498/000121390023100099/ea190772-8k425_twelve2.htm
2023-12-29T17:13:05-05:00,Valneva SE,6-K,https://www.sec.gov/Archives/edgar/data/1836564/000117184323007732/f6k_122923.htm
2023-12-27T12:46:21-05:00,RNC CAPITAL MANAGEMENT LLC,13F-HR,https://www.sec.gov/Archives/edgar/data/51762/000005176223000005/xslForm13F_X02/primary_doc.xml
2023-12-27T10:54:06-05:00,"SE 5750 MERCURY , DST",D,https://www.sec.gov/Archives/edgar/data/2005625/000200562523000001/xslFormDX01/primary_doc.xml
2023-12-26T10:36:05-05:00,Ferrovial SE,LETTER,https://www.sec.gov/Archives/edgar/data/1468522/000000000023014073/filename1.pdf
2023-12-22T15:44:54-05:00,"MayTech Global Investments, LLC",13F-HR/A,https://www.sec.gov/Archives/edgar/data/1731134/000121465923016755/xslForm13F_X02/primary_doc.xml
2023-12-22T12:05:14-05:00,Ferrovial SE,REDACTED EXHIBIT,https://www.sec.gov/Archives/edgar/data/1468522/999999999723004822/filename1.pdf
2023-12-21T18:29:23-05:00,WEST PACES ADVISORS INC.,13F-HR,https://www.sec.gov/Archives/edgar/data/2004720/000139834423023303/xslForm13F_X02/primary_doc.xml
2023-12-21T18:28:56-05:00,WEST PACES ADVISORS INC.,13F-HR,https://www.sec.gov/Archives/edgar/data/2004720/000139834423023302/xslForm13F_X02/primary_doc.xml
2023-12-21T18:26:06-05:00,WEST PACES ADVISORS INC.,13F-HR,https://www.sec.gov/Archives/edgar/data/2004720/000139834423023299/xslForm13F_X02/primary_doc.xml
2023-12-21T18:24:48-05:00,WEST PACES ADVISORS INC.,13F-HR,https://www.sec.gov/Archives/edgar/data/2004720/000139834423023298/xslForm13F_X02/primary_doc.xml
2023-12-21T18:22:18-05:00,WEST PACES ADVISORS INC.,13F-HR,https://www.sec.gov/Archives/edgar/data/2004720/000139834423023296/xslForm13F_X02/primary_doc.xml
2023-12-21T18:19:51-05:00,WEST PACES ADVISORS INC.,13F-HR,https://www.sec.gov/Archives/edgar/data/2004720/000139834423023293/xslForm13F_X02/primary_doc.xml
2023-12-21T16:02:06-05:00,BioNTech SE,6-K,https://www.sec.gov/Archives/edgar/data/1776985/000177698523000080/form6-kbnt323breakthrought.htm
2023-12-21T15:57:46-05:00,Valneva SE,6-K,https://www.sec.gov/Archives/edgar/data/1836564/000117184323007669/f6k_122123.htm
2023-12-20T18:46:57-05:00,CONSTELLIUM SE,CORRESP,https://www.sec.gov/Archives/edgar/data/1563411/000119312523300157/filename1.htm
2023-12-20T18:40:37-05:00,WEST PACES ADVISORS INC.,13F-HR,https://www.sec.gov/Archives/edgar/data/2004720/000139834423023072/xslForm13F_X02/primary_doc.xml
2023-12-20T18:33:37-05:00,WEST PACES ADVISORS INC.,13F-HR,https://www.sec.gov/Archives/edgar/data/2004720/000139834423023070/xslForm13F_X02/primary_doc.xml
2023-12-20T16:46:33-05:00,Sea Ltd,144,https://www.sec.gov/Archives/edgar/data/1703399/000196858223000831/xsl144X01/primary_doc.xml
2023-12-20T06:00:20-05:00,ARGENX SE,6-K,https://www.sec.gov/Archives/edgar/data/1697862/000110465923127461/tm2333294d1_6k.htm
2023-12-19T19:22:46-05:00,WEST PACES ADVISORS INC.,13F-HR,https://www.sec.gov/Archives/edgar/data/2004720/000139834423022988/xslForm13F_X02/primary_doc.xml
2023-12-19T19:20:10-05:00,WEST PACES ADVISORS INC.,13F-HR,https://www.sec.gov/Archives/edgar/data/2004720/000139834423022987/xslForm13F_X02/primary_doc.xml
2023-12-19T19:15:31-05:00,WEST PACES ADVISORS INC.,13F-HR,https://www.sec.gov/Archives/edgar/data/2004720/000139834423022984/xslForm13F_X02/primary_doc.xml
2023-12-19T14:37:29-05:00,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,13F-HR/A,https://www.sec.gov/Archives/edgar/data/1007280/000100728023000013/xslForm13F_X02/primary_doc.xml
2023-12-19T14:32:57-05:00,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,13F-HR/A,https://www.sec.gov/Archives/edgar/data/1007280/000100728023000012/xslForm13F_X02/primary_doc.xml
2023-12-19T14:29:40-05:00,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,13F-HR/A,https://www.sec.gov/Archives/edgar/data/1007280/000100728023000011/xslForm13F_X02/primary_doc.xml
2023-12-19T14:24:43-05:00,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,13F-HR/A,https://www.sec.gov/Archives/edgar/data/1007280/000100728023000010/xslForm13F_X02/primary_doc.xml
2023-12-19T06:26:09-05:00,Sea Ltd,144/A,https://www.sec.gov/Archives/edgar/data/1703399/000174352723000003/xsl144X01/primary_doc.xml
2023-12-18T21:58:30-05:00,Sea Ltd,144,https://www.sec.gov/Archives/edgar/data/1703399/000174351223000005/xsl144X01/primary_doc.xml
2023-12-18T16:22:02-05:00,BioNTech SE,6-K,https://www.sec.gov/Archives/edgar/data/1776985/000177698523000078/form6-kbiontechafricasitei.htm
2023-12-18T12:33:45-05:00,VANGUARD GROUP INC,13F-HR/A,https://www.sec.gov/Archives/edgar/data/102909/000110465923126756/xslForm13F_X02/primary_doc.xml
2023-12-18T12:23:04-05:00,CoreFirst Bank & Trust,13F-HR,https://www.sec.gov/Archives/edgar/data/1845199/000184519923000004/xslForm13F_X02/primary_doc.xml
2023-12-15T16:41:22-05:00,Next.e.GO N.V.,F-1/A,https://www.sec.gov/Archives/edgar/data/1942808/000121390023096122/ff12023a2_nextego.htm
2023-12-15T15:03:56-05:00,Ferrovial SE,DRSLTR,https://www.sec.gov/Archives/edgar/data/1468522/000110465923126337/filename1.htm
