filed_at,company_name,form_type,url
2024-01-02T21:49:04-05:00,JPMORGAN CHASE & CO,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000497/xslF345X02/ownership.xml
2024-01-02T21:49:04-05:00,DNT Asset Trust,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000497/xslF345X02/ownership.xml
2024-01-02T21:49:04-05:00,"BLACKROCK MUNIVEST FUND, INC.",3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000497/xslF345X02/ownership.xml
2024-01-02T21:43:23-05:00,DNT Asset Trust,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000495/xslF345X02/ownership.xml
2024-01-02T21:43:23-05:00,BLACKROCK MUNICIPAL INCOME TRUST,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000495/xslF345X02/ownership.xml
2024-01-02T21:43:23-05:00,JPMORGAN CHASE & CO,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000495/xslF345X02/ownership.xml
2024-01-02T21:42:50-05:00,BLACKROCK MUNICIPAL INCOME QUALITY TRUST,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000494/xslF345X02/ownership.xml
2024-01-02T21:42:50-05:00,DNT Asset Trust,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000494/xslF345X02/ownership.xml
2024-01-02T21:42:50-05:00,JPMORGAN CHASE & CO,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000494/xslF345X02/ownership.xml
2024-01-02T21:41:02-05:00,DNT Asset Trust,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000492/xslF345X02/ownership.xml
2024-01-02T21:41:02-05:00,JPMORGAN CHASE & CO,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000492/xslF345X02/ownership.xml
2024-01-02T21:41:02-05:00,"BLACKROCK INVESTMENT QUALITY MUNICIPAL TRUST, INC.",3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000492/xslF345X02/ownership.xml
2024-01-02T21:37:17-05:00,BLACKROCK MUNICIPAL INCOME TRUST II,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000488/xslF345X02/ownership.xml
2024-01-02T21:37:17-05:00,DNT Asset Trust,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000488/xslF345X02/ownership.xml
2024-01-02T21:37:17-05:00,JPMORGAN CHASE & CO,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000488/xslF345X02/ownership.xml
2024-01-02T21:35:57-05:00,DNT Asset Trust,3,https://www.sec.gov/Archives/edgar/data/19617/000095017024000487/xslF345X02/ownership.xml
